_id,preferredLayout,shoppingFrequency,favoriteDevice,influencingFactors[0],influencingFactors[1],influencingFactors[2],influencingFactors[3],influencingFactors[4],satisfactionLevel,comments,submittedAt
68e4dc3afe259ecca90bb12e,B,Rarely,Smartphone,Product Reviews,Website Usability,,,,Satisfied,,2025-10-07T09:24:10.300123
68e4dfd1fe259ecca90bb12f,A,Weekly,Desktop/Laptop,Fast Delivery,Product Reviews,Price,Website Usability,Brand Reputation,Very satisfied,I like the purple - option B - to replace the color in option A! The dark mode is awesome.,2025-10-07T09:39:29.208000
68e4f1d3fe259ecca90bb130,A,Rarely,Smartphone,Price,Product Reviews,Brand Reputation,Promotions/Discounts,,Satisfied,,2025-10-07T10:56:19.162309
68e502f8fe259ecca90bb131,B,Monthly,Smartphone,Price,Product Reviews,,,,Satisfied,,2025-10-07T12:09:28.738440
68e51498fe259ecca90bb132,A,Weekly,Desktop/Laptop,Price,Product Reviews,Fast Delivery,Promotions/Discounts,,Very satisfied,,2025-10-07T13:24:40.187783
68e52c99fe259ecca90bb133,A,Monthly,Desktop/Laptop,Price,Product Reviews,Brand Reputation,,,Satisfied,,2025-10-07T15:07:05.113931
68e52cebfe259ecca90bb134,B,Weekly,Desktop/Laptop,Price,Product Reviews,Brand Reputation,,,Satisfied,,2025-10-07T15:08:27.966236
68e592a8fe259ecca90bb135,B,Rarely,Smartphone,Price,Brand Reputation,Website Usability,,,Satisfied,,2025-10-07T22:22:32.796545
68e63e12fe259ecca90bb136,B,Weekly,Smartphone,Price,Product Reviews,Fast Delivery,,,Satisfied,"I liked the option B, but the black buttons toadd to cart are really nice",2025-10-08T10:33:54.735921
68e65a75fe259ecca90bb137,A,Monthly,Smartphone,Brand Reputation,Price,Product Reviews,,,Neutral,,2025-10-08T12:35:01.692451
